epoch,train_loss,train_f1,train_acc,train_auc,val_loss,val_f1,val_acc,val_auc,best_f1,best_thr
1,0.7563533186912537,0.7327891419063404,0.7327935222672065,0.8144179894179894,0.7849671244621277,0.7688888883600284,0.7692307692307693,0.8333333333333334,0.7688888883600284,0.85
2,0.8758153915405273,0.7368248499212533,0.7368421052631579,0.8125,0.8533195853233337,0.7877551015106309,0.7884615384615384,0.8794642857142857,0.7877551015106309,0.9
3,0.9063900709152222,0.7246557372023295,0.7246963562753036,0.7979497354497355,0.8626450896263123,0.7688888883600284,0.7692307692307693,0.8764880952380952,0.7877551015106309,0.9
4,0.9151732325553894,0.6822742469938584,0.6963562753036437,0.7916666666666666,0.8471888303756714,0.7845574382659051,0.7884615384615384,0.8928571428571429,0.7877551015106309,0.9
5,0.9219964742660522,0.7163713905724152,0.7165991902834008,0.7921957671957672,0.858796238899231,0.8065476185164576,0.8076923076923077,0.8973214285714286,0.8065476185164576,0.9
6,0.9205332398414612,0.7285847829252017,0.728744939271255,0.7917989417989418,0.8618314266204834,0.7877551015106309,0.7884615384615384,0.8869047619047619,0.8065476185164576,0.9
7,0.9148172736167908,0.7163713905724152,0.7165991902834008,0.7912698412698412,0.853615403175354,0.7877551015106309,0.7884615384615384,0.9017857142857143,0.8065476185164576,0.9
8,0.9117377400398254,0.7199868556522293,0.7206477732793523,0.7992724867724867,0.8438466191291809,0.8065476185164576,0.8076923076923077,0.8988095238095238,0.8065476185164576,0.9
9,0.9213593602180481,0.7158119653069863,0.7165991902834008,0.7898148148148149,0.8550963997840881,0.8065476185164576,0.8076923076923077,0.8943452380952381,0.8065476185164576,0.9
10,0.916259229183197,0.7201891341062032,0.7206477732793523,0.7939814814814815,0.8564147353172302,0.8065476185164576,0.8076923076923077,0.8988095238095238,0.8065476185164576,0.9
11,0.9248069524765015,0.7199868556522293,0.7206477732793523,0.78505291005291,0.8678314685821533,0.7877551015106309,0.7884615384615384,0.8943452380952381,0.8065476185164576,0.9
12,0.925179123878479,0.7278706850389739,0.728744939271255,0.7914682539682539,0.8672083616256714,0.7877551015106309,0.7884615384615384,0.8988095238095238,0.8065476185164576,0.9
13,0.9235734343528748,0.7160360000209376,0.7165991902834008,0.7813492063492063,0.8581949472427368,0.7688888883600284,0.7692307692307693,0.8913690476190477,0.8065476185164576,0.9
14,0.926393985748291,0.7163713905724152,0.7165991902834008,0.7818121693121693,0.8567771911621094,0.7877551015106309,0.7884615384615384,0.8913690476190477,0.8065476185164576,0.9
TEST,,,,,,,,,0.8065476185164576,0.9
