epoch,train_loss,train_f1,train_acc,train_auc,val_loss,val_f1,val_acc,val_auc,best_f1,best_thr
1,0.6938893795013428,0.45580693778234527,0.6422764227642277,0.5200581395348837,0.6958933472633362,0.46967257069114254,0.6346153846153846,0.4918300653594771,0.46967257069114254,0.5499999999999999
2,0.6946694254875183,0.4949652943504646,0.6585365853658537,0.5265261627906976,0.6973109841346741,0.46967257069114254,0.6346153846153846,0.4918300653594771,0.46967257069114254,0.5499999999999999
3,0.6956043243408203,0.5055685602644312,0.6544715447154471,0.5320494186046512,0.6989355087280273,0.4997468349770711,0.6346153846153846,0.4950980392156863,0.4997468349770711,0.5499999999999999
4,0.6965005397796631,0.5002685217640859,0.6463414634146342,0.5398255813953489,0.7007188200950623,0.4997468349770711,0.6346153846153846,0.4934640522875817,0.4997468349770711,0.5499999999999999
5,0.6974254250526428,0.5206199578601077,0.6504065040650406,0.5462209302325581,0.7024691104888916,0.4871794867021696,0.6153846153846154,0.4852941176470588,0.4997468349770711,0.5499999999999999
6,0.6983845829963684,0.5392953924934158,0.6544715447154471,0.5543604651162791,0.7043648362159729,0.4871794867021696,0.6153846153846154,0.4803921568627451,0.4997468349770711,0.5499999999999999
7,0.6994764804840088,0.55191256783853,0.6585365853658537,0.5631540697674419,0.7065415978431702,0.4747474742609924,0.5961538461538461,0.4738562091503268,0.4997468349770711,0.5499999999999999
8,0.7007094025611877,0.5444444439658636,0.6422764227642277,0.5710029069767442,0.7090321779251099,0.4747474742609924,0.5961538461538461,0.46405228758169936,0.4997468349770711,0.5499999999999999
9,0.7021839022636414,0.5307629865236851,0.6178861788617886,0.5770348837209303,0.7118111848831177,0.46240601454377006,0.5769230769230769,0.46078431372549017,0.4997468349770711,0.5499999999999999
10,0.7038199305534363,0.5391895883830666,0.6138211382113821,0.5837936046511628,0.7146823406219482,0.4714980109791429,0.5576923076923077,0.4591503267973856,0.4997468349770711,0.5499999999999999
11,0.7056045532226562,0.40329550813189025,0.6463414634146342,0.5890261627906976,0.7177037000656128,0.5047619044113378,0.6923076923076923,0.4526143790849673,0.5047619044113378,0.6
12,0.7075690031051636,0.4345129901632003,0.6504065040650406,0.5917151162790698,0.7209118604660034,0.49282845630094374,0.6730769230769231,0.4444444444444444,0.5047619044113378,0.6
13,0.7096310257911682,0.4671016569693511,0.6626016260162602,0.5976017441860465,0.7243439555168152,0.48115299293885966,0.6538461538461539,0.4395424836601307,0.5047619044113378,0.6
14,0.7118144035339355,0.48297080310221524,0.6626016260162602,0.6006540697674418,0.7278485894203186,0.525496510568968,0.6730769230769231,0.43300653594771243,0.525496510568968,0.6
15,0.7141945362091064,0.5344815192158356,0.6788617886178862,0.6047965116279069,0.731559157371521,0.525496510568968,0.6730769230769231,0.42320261437908496,0.525496510568968,0.6
16,0.7167142629623413,0.5433027007633343,0.6747967479674797,0.6089389534883721,0.7355006337165833,0.525496510568968,0.6730769230769231,0.4264705882352941,0.525496510568968,0.6
17,0.7194186449050903,0.5342050740584228,0.6544715447154471,0.6113372093023256,0.739679217338562,0.4997468349770711,0.6346153846153846,0.42810457516339867,0.525496510568968,0.6
18,0.722385823726654,0.5534627453782841,0.6544715447154471,0.6145348837209302,0.7440096139907837,0.4747474742609924,0.5961538461538461,0.4297385620915033,0.525496510568968,0.6
19,0.7255961894989014,0.42510869534853846,0.6504065040650406,0.617078488372093,0.7487283945083618,0.5047619044113378,0.6923076923076923,0.4215686274509804,0.525496510568968,0.6
20,0.7291359901428223,0.4455786818924829,0.6544715447154471,0.6191860465116279,0.7536500096321106,0.49282845630094374,0.6730769230769231,0.4215686274509804,0.525496510568968,0.6
21,0.7329487204551697,0.48540816289952265,0.6666666666666666,0.6220203488372092,0.7589024901390076,0.538802660340195,0.6923076923076923,0.4215686274509804,0.538802660340195,0.65
22,0.737056314945221,0.49752676224830106,0.6626016260162602,0.6240552325581395,0.7645021080970764,0.538802660340195,0.6923076923076923,0.4150326797385621,0.538802660340195,0.65
23,0.7415317893028259,0.5403990308160831,0.6707317073170732,0.6253633720930233,0.7704452276229858,0.538802660340195,0.6923076923076923,0.4019607843137255,0.538802660340195,0.65
24,0.7461972832679749,0.5422241909464338,0.6585365853658537,0.6268895348837209,0.7766902446746826,0.538802660340195,0.6923076923076923,0.3954248366013072,0.538802660340195,0.65
25,0.7511342167854309,0.5564903841437797,0.6585365853658537,0.628125,0.783197283744812,0.5124999995480208,0.6538461538461539,0.3954248366013072,0.538802660340195,0.65
26,0.7564449310302734,0.46482958630490673,0.6585365853658537,0.6275436046511628,0.7902624607086182,0.5047619044113378,0.6923076923076923,0.39215686274509803,0.538802660340195,0.65
